"","Forest area net change calculated from table 1a (1 000 ha/year)","Forest area net change calculated from table 1a (1 000 ha/year)","Forest area net change calculated from table 1a (1 000 ha/year)","Forest area net change calculated from table 1a (1 000 ha/year)","Forest area net change calculated from table 1a (1 000 ha/year)"
"","1990-2000","2000-2010","2010-2015","2015-2020","2020-2025"
"Afghanistan","0.00","0.00","0.00","0.00","0.00"
"Albania","-1.95","1.28","3.02","28.76","0.00"
"Algeria","-0.67","-0.68","-0.67","-0.67","-0.67"
"American Samoa","-0.03","-0.15","-0.07","0.00","0.00"
"Andorra","-0.04","0.08","0.04","-0.03","0.01"
"Angola","-152.02","-510.03","-510.03","-510.03","-510.03"
"Anguilla","0.00","0.00","0.00","0.00","0.00"
"Antigua and Barbuda","-0.07","-0.07","-0.07","-0.07","-0.07"
"Argentina","-254.74","-371.48","-256.69","-189.69","-177.32"
"Armenia","-0.21","-0.04","0.38","-0.04","0.02"
"Aruba","0.00","0.00","0.00","0.00","0.00"
"Ascension, Saint Helena and Tristan da Cunha","0.00","0.00","0.00","0.00","0.00"
"Australia","-166.74","-173.62","267.28","156.72","54.09"
"Austria","6.25","2.35","2.82","2.82","2.82"
"Azerbaijan","4.25","4.53","9.08","16.66","10.49"
"Bahamas","0.00","0.00","0.00","0.00","0.00"
"Bahrain","0.00","0.00","0.00","0.12","0.48"
"Bangladesh","-6.50","-3.21","-0.99","-0.99","-0.99"
"Barbados","0.00","0.00","0.00","0.00","0.00"
"Belarus","49.30","35.70","0.70","41.91","26.47"
"Belgium","-1.01","2.26","-0.11","-3.76","0.00"
"Belize","-7.59","-7.59","-7.53","-7.53","-7.53"
"Benin","-130.58","-141.01","-151.43","-37.38","-37.38"
"Bermuda","0.00","0.00","0.00","0.00","0.00"
"Bhutan","9.93","9.93","1.98","0.40","-8.48"
"Bolivia (Plurinational State of)","-268.83","-158.62","-162.51","-223.62","-239.76"
"Bonaire, Sint Eustatius and Saba","0.00","0.00","0.00","0.00","0.00"
"Bosnia and Herzegovina","-9.84","-0.90","11.57","-0.72","1.04"
"Botswana","0.00","0.00","0.00","0.46","0.00"
"Brazil","-5772.29","-3563.29","-1915.70","-2628.41","-3256.05"
"British Virgin Islands","0.00","0.00","0.00","0.00","0.00"
"Brunei Darussalam","-1.60","-1.70","0.00","0.00","0.00"
"Bulgaria","4.80","36.20","19.20","12.60","12.60"
"Burkina Faso","-192.11","-134.31","-119.86","-119.86","-119.86"
"Burundi","-8.25","0.00","17.14","0.00","0.00"
"Cabo Verde","0.44","0.44","0.51","0.62","0.62"
"Cambodia","-22.38","-19.18","-348.48","-194.00","-308.73"
"Cameroon","-90.25","-69.70","-56.00","-178.50","-116.96"
"Canada","-47.23","512.61","512.61","174.76","-9.82"
"Cayman Islands","-0.02","-0.02","0.00","0.00","0.00"
"Central African Republic","-34.99","-34.99","-34.99","-46.52","-46.52"
"Colombia","-253.25","-113.86","-93.60","-168.10","-133.28"
"Comoros","-0.44","-0.55","-0.55","-0.34","0.10"
"Congo","-12.00","-12.00","-20.34","-25.90","14.00"
"Cook Islands","0.07","0.00","0.00","0.00","0.00"
"Costa Rica","9.03","3.17","14.74","3.52","3.52"
"Côte d'Ivoire","-213.45","-116.48","-109.86","-54.06","-80.82"
"Croatia","3.50","3.50","0.40","3.52","1.32"
"Cuba","38.70","51.04","61.93","18.49","2.19"
"Curaçao","0.00","0.00","0.00","0.00","0.00"
"Cyprus","1.05","0.12","-0.03","-0.03","-0.17"
"Czechia","2.58","1.47","2.58","6.05","9.04"
"Democratic People's Republic of Korea","0.00","10.22","11.35","11.35","11.36"
"Democratic Republic of the Congo","-674.99","-674.99","-1004.50","-282.89","-282.89"
"Denmark","4.02","1.47","7.58","1.69","1.97"
"Djibouti","0.00","0.00","0.01","0.05","0.01"
"Dominica","-0.03","-0.02","-0.11","-0.05","-0.04"
"Dominican Republic","3.37","2.05","5.71","1.90","6.62"
"Ecuador","-90.17","-70.21","-41.83","-71.62","-30.15"
"Egypt","0.00","0.02","0.00","0.00","0.01"
"El Salvador","-2.97","-2.97","0.08","0.83","0.84"
"Equatorial Guinea","-8.36","-8.30","-8.47","-8.36","-8.36"
"Eritrea","-5.98","-5.98","-5.98","-5.98","-5.98"
"Estonia","3.30","9.71","17.08","4.49","4.47"
"Eswatini","-1.50","-1.50","-1.50","-1.50","-1.50"
"Ethiopia","-72.81","-72.80","-59.04","-3.90","-3.92"
"Falkland Islands (Malvinas)","0.00","0.00","0.00","0.00","0.00"
"Faroe Islands","0.00","0.00","0.00","0.00","0.00"
"Fiji","6.68","6.06","4.63","4.63","4.63"
"Finland","57.03","-20.36","33.40","26.80","4.54"
"France","85.20","113.10","83.40","102.40","89.40"
"French Guiana","-4.56","-4.29","-3.30","-3.43","-4.18"
"French Polynesia","0.41","0.09","0.00","0.00","0.00"
"Gabon","-7.26","-1.84","-12.13","-6.73","-6.73"
"Gambia","-5.69","-5.79","-5.79","-5.79","-6.53"
"Georgia","0.83","6.18","0.00","0.00","0.00"
"Germany","5.40","5.50","4.88","4.80","4.80"
"Ghana","35.72","35.72","35.72","35.72","35.72"
"Gibraltar","0.00","0.00","0.00","0.00","0.00"
"Greece","0.00","1.19","75.44","132.96","0.00"
"Greenland","0.00","0.00","0.00","0.00","0.00"
"Grenada","0.00","0.00","0.00","0.00","0.00"
"Guadeloupe","-0.09","-0.07","0.27","0.27","0.27"
"Guam","0.00","0.00","0.85","0.00","0.00"
"Guatemala","-62.58","-47.08","-16.92","-13.93","-13.19"
"Guernsey","0.00","0.02","0.01","0.01","0.00"
"Guinea","-67.00","-67.00","-67.00","-67.00","-67.00"
"Guinea-Bissau","-5.03","-4.40","-4.24","-4.24","-4.24"
"Guyana","-3.79","-4.44","-11.69","-9.20","-7.63"
"Haiti","1.50","-0.40","-3.18","0.16","-1.49"
"Holy See","0.00","0.00","0.00","0.00","0.00"
"Honduras","-51.47","-38.48","-43.54","-82.91","-50.22"
"Hungary","10.73","12.52","2.89","-0.76","6.07"
"Chad","-37.73","-82.27","-127.92","-127.91","-127.91"
"Chile","61.36","61.36","35.77","-6.15","-4.88"
"China","1986.00","2360.98","1936.77","1760.75","1611.00"
"Iceland","1.43","1.65","0.90","0.69","0.96"
"India","365.30","190.50","266.40","296.20","86.00"
"Indonesia","-2437.59","434.66","-255.46","106.80","81.48"
"Iran (Islamic Republic of)","0.00","0.00","0.00","0.00","0.00"
"Iraq","1.41","-1.33","-9.14","-6.61","-6.60"
"Ireland","16.87","9.00","6.86","7.73","7.91"
"Isle of Man","0.00","0.00","0.00","0.01","0.00"
"Israel","2.10","0.10","2.20","-5.00","2.00"
"Italy","77.95","65.88","-24.21","90.50","12.49"
"Jamaica","0.20","2.93","5.91","10.40","10.40"
"Japan","-7.40","9.00","-4.40","-5.00","-2.20"
"Jersey","0.00","0.00","0.00","0.01","0.00"
"Jordan","0.00","0.00","0.00","0.00","0.00"
"Kazakhstan","-0.53","-7.47","45.26","28.51","13.90"
"Kenya","7.56","6.23","-98.92","41.52","64.47"
"Kiribati","0.00","0.00","0.00","0.00","0.00"
"Kuwait","0.15","0.04","0.14","0.04","0.00"
"Kyrgyzstan","4.45","4.59","4.02","1.64","0.06"
"Lao People's Democratic Republic","-34.92","-38.95","-58.24","-31.34","-35.33"
"Latvia","6.80","13.11","5.30","7.10","6.57"
"Lebanon","0.10","0.10","0.10","0.10","0.10"
"Lesotho","0.00","0.00","0.00","0.00","0.00"
"Liberia","0.00","-38.90","-116.64","-101.43","-40.58"
"Libya","-0.33","-0.33","-0.33","-0.33","-0.33"
"Liechtenstein","0.02","0.02","0.00","0.00","0.09"
"Lithuania","7.50","15.00","3.40","3.04","2.83"
"Luxembourg","0.09","0.20","0.00","0.00","0.00"
"Madagascar","-66.28","-106.81","-160.13","-120.43","-124.28"
"Malawi","-42.01","-42.00","-42.00","-42.00","-42.00"
"Malaysia","-92.72","-74.37","103.31","-55.90","-60.00"
"Maldives","0.00","0.00","0.00","0.00","0.00"
"Mali","-100.55","-100.55","-100.55","-100.55","-100.55"
"Malta","0.00","0.00","0.00","0.02","0.00"
"Marshall Islands","0.00","0.00","0.00","0.06","0.00"
"Martinique","0.09","0.16","0.20","0.20","0.08"
"Mauritania","2.63","2.63","2.63","2.63","2.63"
"Mauritius","0.09","-0.36","-0.01","0.00","0.00"
"Mayotte","-0.45","-0.44","-0.07","-0.06","-0.03"
"Mexico","-221.03","-143.80","-122.48","-127.77","-127.77"
"Micronesia (Federated States of)","0.03","0.03","0.03","0.03","0.03"
"Monaco","0.00","0.00","0.00","0.00","0.00"
"Mongolia","-8.81","-8.00","-1.11","0.00","0.00"
"Montenegro","0.00","20.10","0.00","0.00","0.00"
"Montserrat","-0.11","0.00","0.00","0.00","0.00"
"Morocco","-0.23","-0.30","-1.16","0.77","0.31"
"Mozambique","-267.03","-267.03","-267.03","-267.03","-267.03"
"Myanmar","-435.04","-342.71","-289.71","-289.71","-289.71"
"Namibia","-71.01","-0.65","-0.64","-0.65","-0.64"
"Nauru","0.00","0.00","0.00","0.00","0.00"
"Nepal","16.74","16.74","3.50","16.58","16.58"
"Netherlands (Kingdom of the)","1.42","1.40","-1.73","0.45","0.45"
"New Caledonia","0.67","0.12","10.72","0.00","0.00"
"New Zealand","47.82","-0.23","-0.30","23.74","67.55"
"Nicaragua","-99.32","-99.32","-22.12","-22.11","-22.13"
"Niger","-61.69","-12.42","-12.42","-12.42","-4.92"
"Nigeria","-126.88","-126.88","-126.88","-126.88","-126.88"
"Niue","-0.01","-0.01","0.01","0.01","0.00"
"Norfolk Island","0.00","0.00","0.00","0.00","0.00"
"North Macedonia","4.56","0.29","6.79","9.58","-3.24"
"Northern Mariana Islands","0.00","0.00","0.81","0.00","0.00"
"Norway","-1.84","-4.92","-3.26","-2.43","-2.43"
"Oman","0.00","0.00","0.00","0.00","0.00"
"Pakistan","-14.41","-15.21","-25.76","10.50","20.79"
"Palau","0.14","0.10","0.09","0.09","0.09"
"Palestine","0.00","0.09","0.12","0.11","0.00"
"Panama","-16.53","-11.42","-6.38","-3.01","-3.01"
"Papua New Guinea","-21.91","-21.92","-4.61","-21.06","-3.75"
"Paraguay","-377.00","-377.00","-354.02","-250.75","-163.71"
"Peru","-299.34","-299.34","-299.34","-179.60","-299.34"
"Philippines","-46.96","-46.95","34.89","42.45","42.45"
"Pitcairn","0.00","0.00","0.00","0.00","0.00"
"Poland","17.70","27.00","18.20","8.84","6.16"
"Portugal","-8.99","-9.67","11.99","4.51","5.65"
"Puerto Rico","12.53","6.23","-0.65","-2.99","5.92"
"Qatar","0.00","0.00","0.00","0.00","0.00"
"Republic of Korea","-7.50","-8.90","-10.00","-7.80","-3.77"
"Republic of Moldova","1.90","3.01","2.38","-2.64","-0.58"
"Réunion","0.30","0.30","0.41","0.20","0.02"
"Romania","-0.50","14.90","77.19","5.62","5.62"
"Russian Federation","80.41","905.66","340.85","1045.21","839.55"
"Rwanda","-2.76","0.70","14.56","14.56","14.56"
"Saint Barthélemy","0.00","0.00","0.00","0.00","0.00"
"Saint Kitts and Nevis","0.00","0.00","0.00","0.00","0.00"
"Saint Lucia","0.20","0.20","0.20","0.11","0.05"
"Saint Martin (French Part)","0.00","0.00","0.00","0.00","0.00"
"Saint Pierre and Miquelon","-0.02","-0.02","-0.02","-0.02","-0.02"
"Saint Vincent and the Grenadines","0.00","0.00","0.00","0.00","0.00"
"Samoa","-0.48","-0.48","-0.48","-0.48","-0.48"
"San Marino","0.00","0.00","0.00","0.00","0.00"
"Sao Tome and Principe","-0.05","-0.05","-0.59","0.02","0.03"
"Saudi Arabia","0.00","0.00","0.00","0.00","1.50"
"Senegal","-15.55","-15.55","-15.54","-15.54","-15.54"
"Serbia","17.02","39.68","39.68","39.68","39.68"
"Seychelles","-0.22","-0.22","-0.22","-0.22","-0.22"
"Sierra Leone","-19.73","-19.73","-19.73","-19.73","-19.73"
"Singapore","0.22","0.07","-0.25","-0.24","-0.10"
"Sint Maarten (Dutch part)","0.00","0.00","0.00","0.00","0.00"
"Slovakia","-0.11","1.65","0.77","1.89","1.85"
"Slovenia","4.50","1.40","0.20","-0.83","-0.06"
"Solomon Islands","-0.74","-0.74","-0.74","-0.73","-0.73"
"Somalia","-76.75","-76.75","-153.90","-153.90","-75.95"
"South Africa","87.57","87.57","87.57","87.57","87.57"
"South Sudan","1.00","2.20","4.16","-0.90","1.50"
"Spain","318.93","147.23","1.83","81.34","30.14"
"Sri Lanka","-13.88","-7.52","-11.54","9.43","-4.94"
"Sudan","-174.14","-174.14","-174.14","-174.14","-174.14"
"Suriname","3.57","-4.00","-4.68","-14.63","-18.25"
"Svalbard and Jan Mayen Islands","0.00","0.00","0.00","0.00","0.00"
"Sweden","10.00","-9.00","-18.60","-9.20","0.00"
"Switzerland","4.27","3.85","2.80","1.83","1.83"
"Syrian Arab Republic","0.98","5.12","3.06","0.08","0.03"
"Tajikistan","0.20","0.00","2.36","0.24","0.30"
"Thailand","-7.00","-7.00","-7.00","55.51","-138.02"
"Timor-Leste","-1.40","-1.40","-1.40","-1.40","-0.85"
"Togo","-2.96","-2.96","-2.96","-2.96","3.04"
"Tokelau","0.00","0.00","0.00","0.00","0.00"
"Tonga","0.00","0.00","0.00","0.00","0.00"
"Trinidad and Tobago","-0.43","-0.42","-0.42","-0.42","-0.42"
"Tunisia","2.39","3.56","0.30","-1.19","-2.30"
"Türkiye","36.49","93.47","109.44","118.01","117.08"
"Turkmenistan","0.00","0.00","0.00","0.00","0.00"
"Turks and Caicos Islands","0.00","0.00","0.00","0.00","0.00"
"Tuvalu","0.00","0.00","0.00","0.00","0.00"
"Uganda","-114.72","-50.15","-50.15","-28.10","-28.10"
"Ukraine","23.60","3.80","30.40","40.00","38.00"
"United Arab Emirates","0.02","0.46","0.33","0.34","0.34"
"United Kingdom of Great Britain and Northern Ireland","17.60","10.50","19.20","12.00","12.60"
"United Republic of Tanzania","-403.00","-403.00","-403.00","-469.00","-469.00"
"United States of America","108.60","518.40","275.00","-168.00","-72.00"
"United States Virgin Islands","-0.11","-0.09","0.15","0.15","0.15"
"Uruguay","45.69","35.96","27.69","19.53","26.10"
"Uzbekistan","41.21","38.81","39.96","27.92","41.04"
"Vanuatu","-2.38","-2.39","-2.38","-2.38","-2.38"
"Venezuela (Bolivarian Republic of)","-125.20","-84.95","-100.56","-108.91","-49.29"
"Viet Nam","240.81","160.40","134.76","123.07","22.57"
"Wallis and Futuna Islands","-0.05","0.03","0.09","0.09","0.09"
"Western Sahara","-6.59","-0.23","0.45","-1.26","-0.80"
"Yemen","0.00","0.00","0.00","0.00","0.00"
"Zambia","-35.80","-35.80","-188.18","-79.01","-97.16"
"Zimbabwe","-105.72","-105.72","-59.67","-54.33","-53.00"
"© FRA 2026","","","","",""